id,text,label
709201371262636032,@SsjNarcy my audience is 18-34 and I was diagnosed with depression at 7. I think it'll be okay,positive
670025381416570880,@natajunkie @AbelDelRey_ I was diagnosed w depression since I was 9 years old and found out about BPD through a tumblr post last year,positive
695310130485661697,"#timetotalkday2016 #mhchat 

I was diagnosed with GAD &amp; Depression years ago. I got help.

We ALL have mental health. Mine is good again :)",positive
512593807754285056,"""Me? I'm diagnosed with Major Depression Disorder, so I get depressed every now and then. I've had those thoughts... http://t.co/cosrmjHjwf",positive
669021780909027328,@DOLANLlFESTYLE si I was diagnosed with mild depression,positive
320966794733051904,"#10ConfessionsAboutMe 4. I'm diagnosed with depression, but I refuse to take my meds",positive
617073347998969860,@GlennaBean I was diagnosed as a teenager. Strong family history of depression here,positive
577295290056601601,"it'll be 6 years, this may, that I was diagnosed with depression.",positive
9815316653,@LanceDeshawn_ I'm diagnosed with depression.. :P,positive
558863369969487872,"I was diagnosed w depression, not suka suka self declare ya.",positive
560506894738268160,I was diagnosed with depression at age 4 #BellLetsTalk,positive
677579374191886337,"@mangouji 7th like

I was diagnosed with depression during the summer but i'm gradually getting better ! https://t.co/417Pk0D5ZW",positive
526525697532375041,Sometimes I Forget I've Been Diagnosed With #Depression | http://t.co/qb6qY8iXSw,positive
124689531785056257,@greatnfluence i'm diagnosed with atypical depression & my doc wants me to go see a therapist. i said hellllll no,positive
678264153744666624,I was diagnosed with depression when I was in 8th grade but had been depressed since I was in 5th,positive
426454178282889216,I'm diagnosed with anxiety and depression and seeing my Idols smile help makes it better and #Beliebers #Smilers #Lovatics #Mahomies thank u,positive
622776378220519424,I've been diagnosed with Post Italy Depression 😢😢😭😭🇮🇹,positive
691125167590920192,"This has been so stressing, I've broken out into a rash I haven't had since I was diagnosed with depression years ago",positive
631735406271270912,So pathetic how many friends I had before I got depression and the second I was diagnosed most used it as gossip and left me - fuck you☺️,positive
545112848834101248,"All of ur tweets are exactly how I feel, I have been diagnosed with depression but I know that I have it. But know one seems to care",positive
694295184314494976,Yesterday I was diagnosed with depression 😞 I wish it was a choice,positive
8285858654330880,Self Help Tips For Dealing W/depression & Mental Illness?: I have been diagnosed as bipolar & was on a medicine ... http://bit.ly/egGDlV,positive
568133259097444353,"@StonerAsylum I can relate to sail, cuz' when I was a kid I was diagnosed with ADD, bipolar disorder and depression, and that is why I toke.",positive
630987626493968384,"my aunt knows I'm diagnosed w depression, but she doesn't like to say bc she feels like that limits who I am",positive
516449861063827456,"“@flannelharry: i asked the doctor, ""can you find out what is wrong with me?"" turns out I was diagnosed with severe depression.”",positive
224879532979662848,"@RealWizKhalifa you're so amazing wiz, you have no idea, I got depression like I'm diagnosed and listening to yo raps cheers me up! Thanku:)",positive
434361435779395584,"@TheStoryofRei Me too! Well, I'm diagnosed with degenerative osteoarthritis and depression. Not sure if it ends there, though. Yay us. :-/",positive
528800591703572481,"When I insisted on visiting a therapist for depression it was initially resisted.It was seen as a taboo,esply when I was diagnosed with BPD.",positive
502559624282009600,"I was diagnosed with depression it feels good to laugh once again. ☀️💗

http://t.co/ssv4YaFByE 

#NashsNewVideo http://t.co/3QIWoivBBG",positive
556268391426572288,"Almost wish I was diagnosed with bi-polar depression, would help explain the highs and lows I experience when I have booze vs when I don't.",positive
429470791106039808,"I have been diagnosed with Anorexia, major depression, chronic depression, and anxiety. #KnowYourAnon",positive
692543518787686400,"I was diagnosed with ptsd, anxiety, and depression several months ago &amp; I'm not ashamed of it #BellLetsTalk",positive
406609497319153665,"My name is Laney, Laney Cooper if we're being formal. 18. I'm diagnosed with anorexia and depression. My ask box doesn't have a clever name!",positive
633303045263126528,+ has been hard on me I was diagnosed with depression and anxiety. I have wanted to kill myself every day but didnt because of my concert! +,positive
596457312639918080,#BLACKMENTALHEALTHMATTERS http://t.co/mQ2R1df982,positive
531234004293259264,I was diagnosed with Idopathic Hypersomnolence/ Atypical narcolespy on top of the major depression disorder.  I... http://t.co/fZxbk1aj8X,positive
697800695118958592,"@restlesshowell_ ah im sorry :// ify, i was diagnosed with depression and it still seems like my dad cares more about me passing &gt;.&lt;",positive
693451211719114753,Our strength lies in our vulnerability; there's nothing wrong with that: Before I was diagnosed with depressio... https://t.co/qx1hM7GAQ1,positive
701502765785157632,"When I was 16, I was diagnosed with Depression and Anxiety. It was this moment that solidified my hatred of myself for my disorders.",positive
651201010480771076,"@_GalaxyGamer 
21. Before I was diagnosed with depression and when I was actually happy
22. USA
23. 1 dog, 1 cat
24. Yes
25. Music",positive
675148558224461826,"@PerilousPeanut 9. I've been diagnosed with Asperger's and very recently depression, so i try to not act like a dumbass",positive
553434240638283776,In this time I was diagnosed with depression and yet still got rid of it on my own. Ive come so far I have no reason to look back,positive
542699250640228352,I've been diagnosed with depression since I was 14 years old. I stopped taking my antidepressants cuz they didn't work. What can I do?#droz,positive
522808327622123520,"Today, I went to see my doctor and I truly have #badnews...I have been diagnosed with Adult ADD and depression.",positive
533288170075717632,"@TheDanteOxalis @Xepsurah I was diagnosed with ADHD, autism, and depression at a young age. How dare you, sir.",positive
670126506778238977,"@Bagged_Milk_ (mental disorders) I was diagnosed with anxiety plus major/clinical depression, Type 1 ADHD, adjustment disorder for 3 years.+",positive
584405503083732992,"@adannaduru it's really not always as simple as a choice. I was diagnosed with depression when I was 9, it's enough of a struggle to feel",positive
577249431482994689,My mom is finding out today I was diagnosed with Borderline personality disorder in addition to the bipolar and severe depression.,positive
530520012562661378,I was promised that I'd see @5sos by my grandmother earlier after I was diagnosed with depression by my doctor. I've never been so happy. 😌💗,positive
505503647430488064,"8 Natural Weapons To Fight Depression: After I was diagnosed with clinical depression at the tender age of 21,... http://t.co/rg1a7Ip38t",positive
538475940758966272,Funny how she didn't start mentioning social anxiety or depression until I told her I was diagnosed with that,positive
637834730927329280,"9 years ago, at the age of 16, I was diagnosed with chronic depression. Everyday is a struggle to keep a smile on... http://t.co/YDH4KXQWBY",positive
670790843389894656,"#MentalHealthPosi I've been diagnosed with depression, anxiety, and BPD but I still manage to smile everyday 👼🏻💗 https://t.co/d9U1M5LZCV",positive
610802068048064512,@Kenzie_Senpai I've been diagnosed with depression and anxiety myself.,positive
605831991829733376,I've been diagnosed with depression great... and a sinus infection... Just my week...,positive
368548914850312192,I'm diagnosed with major depression 😢,positive
607596245343989760,My only wish is that Zayn knows that he literally saved me when I was diagnosed with depression,positive
569834232744431616,"On February 19, 2014, I was diagnosed with depression. I think of who I was then, and me now, a year later &amp; I'm proud of how far I've come.",positive
681472807893483520,"Part 1- I've been diagnosed with anxiety and depression, been through just about every kind… https://t.co/LSCGHZK9GA https://t.co/tZMfvZ6ytR",positive
76744635397046272,RT @Princess__KimH: RT @no_directions: I wouldn't be surprised if I'm diagnosed with clinical depression within the next 5 years.,positive
529224682885496832,@WeAreAustralia what is the connection (if any) between depression and anxiety? I’m diagnosed with A but get a lot of advice about D.,positive
571118016857051137,I was diagnosed with depression in 2010 and later on with bipolar in 2012. It is something I have to struggle with for the rest of my life.,positive
699666214281293824,.@TheMighty: What I Would’ve Told Myself the Day I Was Diagnosed With Depression https://t.co/Wjp0xbvBTN #SickNotWeak,positive
345025170408366080,@ilovealissaaa I think I'm diagnosed with depression #sorrynotsorry,positive
505949720884572161,@bestashtonpicsx i was diagnosed w depression and general anxiety disorder and my parents were like lol ok,positive
143170299280625664,I think i'm diagnosed with depression.,positive
654643416706383872,"@andlehay I was diagnosed with clinical depression, but self-diagnosed myself bipolar after a number of manic episodes over the years.",positive
718284804979081217,Wish you knew more about #depression? https://t.co/t7iXREB1rK,positive
532337457488879616,"""When I was 15, I was diagnosed with clinical #Depression.""

""What Depression Feels Like"" by Honica http://t.co/dkrtxBkPPA

#writing #mylife",positive
581501275205988352,"I see we're stigmatizing people with depression now. I've been diagnosed with it, does that mean I shouldn't be allowed to drive?",positive
633889987205836800,"@babylacehes and don't try to be like ""well if you have depression you would know"" because I've been diagnosed with 4 different mental",positive
342417404690849792,@jhagemann515 @sergeiRB15 I have been diagnosed with clinical depression as a direct result of your cruel humor... hope your happy:'(,positive
545287605563441152,"I was diagnosed with clinical depression almost a decade ago and yet there was no screening process. 

All those years wasted for no reason.",positive
692487482122838017,During my freshman year I was diagnosed with depression #BellLetsTalk,positive
612080503886209024,"FYI: I have been diagnosed with depression, anxiety, and ADHD, and suspect subclinical OCD. I have never killed anyone. #racismwasthemotive",positive
641114393619660800,@tayababyyy I have been diagnosed with depression too so,positive
582005131316584448,"“@AnxietyIsYou: me: i have been diagnosed with
anxiety and depression 

people: but you seem happy tho?

me: oh!!.. ok... nevermind.”
!!this",positive
427391261096435713,"@Boogie2988 @JonTronShow @JewWario I'm crying over this cuz I'm diagnosed with manic depression and you can take the pills, goto therapy...",positive
626890788845285377,@khaleesi710 I've been diagnosed with depression &amp; she thinks I'm getting better,positive
510444846537269250,@KitHusky I used to have like 1k followers but I was bullied and since I'm diagnosed with depression I just deleted the account,positive
354738011348545536,Went to the doctors on Monday and I have been diagnosed with depression. So if I have been a grumpy bitch to anyone then I am sorry.,positive
692352629041602560,"I was diagnosed with depression 5 years ago, since then Ive conquered all those thoughts and feelings. It does get better. #BellLetsTalk",positive
538484942565822466,This time last year I was diagnosed with depression and anxiety and found it hard to socialise and even walk through the high street,positive
640175909664870400,@skelet0n_tea I was diagnosed with Asperger and Depression at 12.,positive
405009066163830786,@onedirection i'm diagnosed with post 1D day depression lol,positive
674358968471445505,if u ever need proof that people don't treat mental illness like physical illness just know that when I was diagnosed with depression-,positive
606665129078464513,@PUPPINcaeks It's not. I was diagnosed with Major Depression in 2011 and I show symptoms of multiple other emotional problems.,positive
699726212248309760,I was diagnosed with depression at the tender age of 8 yikes,positive
231045135339769857,I wish I'm diagnosed with depression so everybody thinks I have a problem and I don't have to care so much anymore,positive
617971074391801856,I was diagnosed with depression at the of 15 years old and admitted twice in a depression clinic.,positive
313637868369227776,Mother thinks I'm diagnosed with depression because I'm always sleeping and ignoring the world lol :P,positive
369088201379434496,"THIS SCENE OKAY, I'M DIAGNOSED WITH POST CUE DEPRESSION AGAIN EVEN IF I'M STILL IN CUE OH GOSH ;~; :(((((",positive
676198820842196992,@RomanAtwood I was diagnosed with depression and everyone is acting different and making me feel crappy and I need someone to help me out,positive
382992020526333952,"May I ask you why you're saying you can never fully r... — Because it's chronic, I'm diagnosed with a depression... http://t.co/wHfyNcg5uq",positive
603803735395934209,"A year ago around this time, I was diagnosed with severe depression....",positive
525092275261825025,Fact 3: I've been diagnosed with general anxiety and clinical depression (and I'm on meds for both so yay happy me),positive
516396808470544384,"@InCarsonWeTrust I was diagnosed with clinical depression at ten, tried to kill myself, and it wasn’t only friends and family that helped",positive
671010065705488384,"@gashoeIine I understand completely i quit college last febuary bc i was diagnosed with anxiety, ptsd and depression. Taking time for",positive
527197864280469506,"Wow, it's been over a year since I was diagnosed with depression and I'm still standing. Kinda proud of myself",positive
520391947316649984,so i have been diagnosed with ptsd and depression... lovely (-:,positive
639326321563303937,@arlinabanana I feel you. I was diagnosed with mild depression,positive
692813370219745281,So I went to the doctor. I've been diagnosed with depression and anxiety. I'm announcing this on all my social media just for anyone caring,positive
250247248062070784,So I Have Been Diagnosed With Severe Depression AGAIN  And I Was Giving Truthful Answers..,positive
546157591932715008,I've been diagnosed with depression,positive
549397746856513536,Anonymous said: I was diagnosed with depression earlier this year and one problem found out I have in... http://t.co/czXoo2qope,positive
723271513567334401,#WhatYouDontSee Was fired from job in Dorchester after I was diagnosed with depression. @dorsetforyou they gave me £8k &amp; asked me to resign,positive
340702633461415939,"Before anyone else targets me, I want to clarify. I have been diagnosed with EDNOS, anxiety, depression, OCD, dissociative disorder, PTSD.",positive
721055759191162881,"Sorry guys i haven't stream lately, but i have my reasons, long story short, i'm diagnosed with really really hard depression... :(",positive
378595463588761600,"Are you diagnosed? — I'm diagnosed with anorexia nervosa, BPD and depression http://t.co/fGgERx1rZL",positive
582741205445795840,"Not even 1 min into the movie ""The Foxcatcher"" I was diagnosed with depression and cocaine addiction.",positive
714765213497749505,I've been diagnosed with severe depression since I was 12. I've tried too many times to kill myself in many ways in silence. Silence...,positive
686986742805721093,"@emilyleemusic Hi Emily, sorry to hear about your struggles; I was diagnosed with generalised anxiety &amp; a cute depression back in May.",positive
570972817535193090,@JamesVanPraagh I've been diagnosed with depression-anxiety ever since my dad died can you help me please!!!,positive
557454702011359232,And before anyone says: It sounds like you have depression...I know I have been diagnosed as having dysphoric mood disorder.,positive
613099030218960900,"""I've been diagnosed with depression so happy thoughts help"" 
Thinking about our shitty fucking relationship won't help.... #FuckOff #MoveOn",positive
693465449397227521,Our strength lies in our vulnerability; there's nothing wrong with that: Before I was diagnosed with depressio... https://t.co/IDVL9F8a2a,positive
514975262849515520,I was diagnosed with depression about a year ago and I can honestly say there are better days. #tru,positive
691001374608363521,"I was diagnosed with depression s a child 

I never really acknowledged it

Till they killed gotti and took away sylence",positive
612626168252993536,Mr and I don't have children. When I was diagnosed with depression we realized it would be a bad idea. It makes these days a little hard.,positive
693451908636217344,Our strength lies in our vulnerability; there's nothing wrong with that: Before I was diagnosed with depressio... https://t.co/leVAU5U1Fe,positive
406426944519938050,@MindTwoRhyme I have the same problems with my crew dude. What makes it really worse is the fact that I'm diagnosed with severe depression.,positive
542913640806895617,i was diagnosed with depression and anxiety but I have always known it was more than that so *shrug*,positive
552509393145974785,I've been diagnosed with depression.,positive
473353657728376832,"21. I'm diagnosed with depression, anxiety, and ADHD. #50FactsAboutMe",positive
505008214732455937,Lady Sings the Blues - 'I was diagnosed with clinical depression' says @TerrieWilliams. #mentalhealth http://t.co/sqnukgO5Ev,positive
605173854743498752,So many more great poets/people. I was diagnosed with clinical depression yet these people (&amp; more) encouraged me but never sold me dreams.,positive
271152737893371904,Fan Post: I have been diagnosed with depression and have been put on fluoxetine 40mg a day for a good five months... http://t.co/6IV08pDC,positive
557648642493149185,"@rwtg251 no I was diagnosed with anxiety and depression by gp
Took me a month to get first one (non emergency) and gp contacted them",positive
635287223051681792,@_chunk_ nah. I lived with her for a little over here after I was diagnosed with depression+,positive
693451069188231169,Our strength lies in our vulnerability; there's nothing wrong with that: Before I was diagnosed with depressio... https://t.co/Q1c5SOkr8Y,positive
719445616229658625,"Agree with Dr. Munir's answer to ""About 2 years ago, i was diagnosed with mild depression. I got better, but i someti..."" - http://htap.u...",positive
537404103442587648,"forgot to say, i was diagnosed with major depression and anxiety.",positive
665709248865656832,@ariii_carpenter I was forced into therapy and I was diagnosed with depression.,positive
547368132776443904,"I have been diagnosed with major depression, does this mean I can get depression quest removed because it greatly offends me?",positive
709221803130945537,@Whatchuuumeannn Saying knowledge about depression. I was diagnosed it sucks but everyday is a new day. #positivemind #positivevibes,positive
686572904297926656,@TheCursedAngel //I've been diagnosed with major depression :/,positive
651344898726105089,9 Things I Wish I’d Known About Depression Before I Was Diagnosed: When I think back to my younger self... http://t.co/0cO6p6XjW4 #reiki,positive
665405190045106176,"3) i've been diagnosed with depression and anxiety and been in and out of hospitals. if anyone needs anything i'm always here, i understand",positive
639286467332866048,@idinamenzel first concert since I was diagnosed with #depression and #agoraphobia your voice lifted my spirit and my heart tonight #ForGood,positive
706594518255022080,"@Ivan_Maisel   Sounds like Autistic-Avoidant personality disorder, which I have been diagnosed with.  After 40 years of depression.",positive
